POLICYNUM,INSAGE,INSAGEBIN,VEHICLE_TYPE,GENDER,MARITAL_STATUS,PREVCLM,SEATBELT,ACTUALDAMAGE,LOSS
5,50.0,45-55,Small car,Male,,No,Yes,34940.0,33440.0
13,28.0,25-35,Big car,Female,Single,Yes,Yes,10892.0,9392.0
66,5.0,18 and below,Big car,Male,Single,No,Yes,330.0,0.0
71,32.0,25-35,Small car,Male,Married,No,No,11037.0,9537.0
96,30.0,25-35,Big car,Male,Divorced/Separated,No,Yes,138.0,0.0
97,35.0,35-45,Small car,Female,Married,No,Yes,309.0,0.0
120,19.0,18-25,Small car,Male,Single,No,Yes,3538.0,2038.0
136,34.0,25-35,Small car,Female,Single,No,Yes,4882.0,3382.0
152,61.0,55 and older,Big car,Female,Single,No,Yes,874.0,0.0
155,,,Big car,Male,Single,No,Yes,1351.0,0.0
162,37.0,35-45,Small car,Female,Married,No,Yes,6290.0,4790.0
248,42.0,35-45,Small car,Male,Married,No,Yes,29620.0,28120.0
250,17.0,18 and below,Big car,Male,Single,No,Yes,2678.0,1178.0
251,40.0,35-45,Small car,Female,Married,No,Yes,11673.0,10173.0
269,37.0,35-45,Big car,Female,Married,No,Yes,243.0,0.0
272,19.0,18-25,Big car,Female,Single,Yes,Yes,1053.0,0.0
334,58.0,55 and older,Big car,Female,Married,No,Yes,150.0,0.0
361,58.0,55 and older,Small car,Male,Married,No,Yes,758.0,0.0
376,3.0,18 and below,Big car,Male,Single,No,Yes,100.0,0.0
412,38.0,35-45,Small car,Female,Divorced/Separated,No,Yes,4754.0,3254.0
479,37.0,35-45,Small car,Male,Single,,Yes,3200.0,1700.0
481,39.0,35-45,Big car,Female,Married,No,Yes,230.0,0.0
551,38.0,35-45,Small car,Male,Divorced/Separated,Yes,Yes,26262.0,24762.0
569,31.0,25-35,Small car,Male,Single,,Yes,1619.0,119.0
581,54.0,45-55,Big car,Male,Married,No,Yes,20040.0,18540.0
608,3.0,18 and below,Big car,Female,Single,No,Yes,787.0,0.0
613,62.0,55 and older,Big car,Male,Single,No,Yes,250.0,0.0
616,10.0,18 and below,Small car,Male,Single,No,Yes,1405.0,0.0
617,40.0,35-45,Big car,Male,Married,No,Yes,415.0,0.0
631,,,Small car,Male,Single,No,Yes,595.0,0.0
640,26.0,25-35,Big car,Female,Divorced/Separated,No,Yes,3994.0,2494.0
641,,,Big car,Male,Single,No,Yes,337.0,0.0
685,19.0,18-25,Big car,Male,Single,No,Yes,603.0,0.0
700,35.0,35-45,Small car,Female,Single,No,Yes,2673.0,1173.0
721,35.0,35-45,Small car,Female,Married,No,Yes,4752.0,3252.0
766,27.0,25-35,Small car,Female,Married,No,Yes,3538.0,2038.0
775,42.0,35-45,Small car,Female,Married,Yes,Yes,3285.0,1785.0
805,50.0,45-55,Small car,Female,Married,No,Yes,13711.0,12211.0
829,33.0,25-35,Big car,Male,Single,No,Yes,386.0,0.0
838,19.0,18-25,Small car,Male,Single,No,Yes,2970.0,1470.0
852,34.0,25-35,Big car,Male,Married,No,Yes,1914.0,414.0
872,33.0,25-35,Small car,Female,Married,Yes,Yes,8090.0,6590.0
915,46.0,45-55,Small car,Female,Married,No,Yes,8189.999999999999,6689.999999999999
942,55.0,55 and older,Big car,Female,Single,No,Yes,23201.0,21701.0
972,5.0,18 and below,Big car,Male,Single,No,Yes,460.0,0.0
1062,,,Big car,Female,Married,No,Yes,3982.0,2482.0
1063,26.0,25-35,Small car,Male,Married,Yes,Yes,2740.0,1240.0
1078,2.0,18 and below,Big car,Male,Single,No,Yes,100.0,0.0
1092,,,Small car,Male,Single,No,Yes,2103.0,603.0
1101,41.0,35-45,Small car,Male,Married,No,Yes,3200.0,1700.0
1104,29.0,25-35,Small car,Female,Divorced/Separated,No,Yes,3777.0,2277.0
1154,54.0,45-55,Big car,Male,Married,No,Yes,1975.0,475.0
1170,,,Big car,Female,Married,No,Yes,497.0,0.0
1186,,,Big car,Female,Single,No,Yes,335.0,0.0
1278,61.0,55 and older,Small car,Female,Married,No,Yes,2669.0,1169.0
1295,31.0,25-35,Small car,Male,Married,No,Yes,33633.0,32133.0
1312,,,Big car,Female,Married,No,Yes,305.0,0.0
1314,20.0,18-25,Small car,Female,Single,Yes,Yes,6694.0,5194.0
1335,44.0,35-45,Big car,Female,Married,No,Yes,239.0,0.0
1339,21.0,18-25,Big car,Male,Single,No,Yes,987.0,0.0
1354,,,Big car,Female,Married,No,Yes,1000.0,0.0
